age,gender,screen_time,social_media,gaming,sleep,activity,support,platform,source,target
23,Female,12.36,6.0,0.68,8.01,6.71,No,Unknown,df1,0
21,Male,7.61,2.57,3.74,7.28,5.88,Yes,Unknown,df1,1
51,Male,3.16,6.14,1.26,8.04,9.81,No,Unknown,df1,1
25,Female,13.08,4.48,2.59,5.62,5.28,Yes,Unknown,df1,0
53,Male,12.63,0.56,0.29,5.55,4.0,No,Unknown,df1,0
58,Male,1.34,5.74,0.11,8.61,6.54,Yes,Unknown,df1,1
63,Female,9.78,2.55,3.79,8.61,1.34,Yes,Unknown,df1,0
51,Female,8.14,4.1,4.74,7.11,5.27,Yes,Unknown,df1,0
57,Other,6.02,4.11,0.08,7.19,5.22,No,Unknown,df1,1
31,Other,6.87,7.23,0.81,5.09,0.47,No,Unknown,df1,0
53,Other,14.87,3.94,1.88,5.13,3.01,Yes,Unknown,df1,1
64,Other,13.68,4.85,1.68,8.57,6.35,No,Unknown,df1,1
40,Female,10.65,4.06,2.54,7.9,0.49,Yes,Unknown,df1,1
24,Other,1.65,5.22,3.3,4.82,7.15,No,Unknown,df1,0
38,Female,10.27,4.53,0.94,7.13,7.14,Yes,Unknown,df1,1
53,Male,5.08,0.21,4.17,8.53,5.05,Yes,Unknown,df1,0
26,Female,11.4,5.4,4.76,4.62,9.65,Yes,Unknown,df1,1
55,Female,14.88,6.56,2.01,8.95,8.96,Yes,Unknown,df1,1
55,Male,11.49,0.61,2.13,7.71,7.51,Yes,Unknown,df1,0
37,Other,6.0,3.85,1.29,5.69,7.77,Yes,Unknown,df1,0
57,Female,9.55,7.33,3.16,7.07,5.65,Yes,Unknown,df1,1
34,Male,1.51,1.14,2.28,4.76,0.06,No,Unknown,df1,1
38,Female,2.83,1.22,2.92,4.01,6.48,No,Unknown,df1,1
39,Male,9.8,5.99,3.96,5.83,7.59,Yes,Unknown,df1,0
42,Other,14.16,3.88,1.52,5.73,8.7,No,Unknown,df1,1
27,Other,3.03,4.15,0.19,4.85,0.34,Yes,Unknown,df1,1
23,Male,12.79,0.06,2.49,5.33,6.55,No,Unknown,df1,1
50,Female,14.72,0.51,3.2,8.37,4.97,No,Unknown,df1,0
60,Other,5.36,7.43,2.17,5.36,9.87,No,Unknown,df1,0
20,Female,1.63,7.48,0.32,8.01,9.28,Yes,Unknown,df1,0
40,Female,8.48,4.07,2.18,8.27,9.78,Yes,Unknown,df1,1
29,Female,8.05,6.11,2.86,6.24,9.74,No,Unknown,df1,1
55,Female,5.32,1.42,2.47,4.4,3.69,No,Unknown,df1,1
30,Male,2.41,3.53,3.53,5.02,7.84,No,Unknown,df1,0
47,Male,1.69,4.52,0.61,7.1,7.99,Yes,Unknown,df1,1
37,Male,13.89,7.42,1.75,5.77,8.17,Yes,Unknown,df1,1
41,Other,11.1,6.25,0.9,7.98,0.74,Yes,Unknown,df1,1
44,Female,12.79,4.66,1.1,4.47,4.69,No,Unknown,df1,0
23,Male,5.37,2.98,4.69,4.7,2.25,Yes,Unknown,df1,0
21,Other,14.2,2.2,2.64,6.98,5.61,Yes,Unknown,df1,0
48,Male,1.22,1.62,3.62,6.7,5.26,Yes,Unknown,df1,1
57,Male,13.84,1.95,2.46,7.59,8.4,No,Unknown,df1,0
47,Other,14.35,6.15,2.95,5.0,4.1,No,Unknown,df1,0
50,Male,14.03,4.5,0.81,5.73,3.62,Yes,Unknown,df1,0
24,Other,8.14,4.06,0.73,8.47,2.28,Yes,Unknown,df1,1
23,Female,8.76,5.93,1.97,4.46,0.9,Yes,Unknown,df1,0
30,Female,2.75,4.26,2.33,4.38,1.48,Yes,Unknown,df1,0
30,Other,1.78,1.5,4.85,6.58,3.3,No,Unknown,df1,0
45,Male,6.9,3.16,1.96,8.02,2.07,No,Unknown,df1,1
38,Female,1.2,0.82,2.76,4.41,8.6,No,Unknown,df1,0
37,Female,5.84,5.02,1.97,4.35,4.22,Yes,Unknown,df1,0
57,Other,7.22,1.48,3.91,8.96,0.33,No,Unknown,df1,1
23,Male,14.31,7.47,1.64,5.53,9.31,No,Unknown,df1,0
59,Other,6.25,4.96,2.46,7.1,0.52,No,Unknown,df1,0
60,Other,8.23,7.83,1.51,4.62,2.99,No,Unknown,df1,1
40,Male,9.01,7.78,2.29,7.35,4.2,Yes,Unknown,df1,1
62,Female,8.35,3.38,1.54,6.03,1.84,Yes,Unknown,df1,1
44,Male,5.94,5.35,2.39,8.2,9.67,No,Unknown,df1,1
28,Other,4.74,6.4,1.58,4.63,4.32,Yes,Unknown,df1,1
59,Male,8.57,7.07,2.66,8.6,4.82,Yes,Unknown,df1,1
39,Female,2.4,3.21,3.15,4.08,9.41,No,Unknown,df1,1
32,Female,5.66,2.13,4.15,5.37,8.89,Yes,Unknown,df1,0
55,Male,12.86,1.41,4.16,8.64,8.36,Yes,Unknown,df1,1
49,Female,13.36,4.3,1.23,6.16,1.1,No,Unknown,df1,1
34,Other,13.46,2.95,1.43,7.59,1.73,Yes,Unknown,df1,0
21,Other,13.2,5.04,1.64,6.77,9.5,Yes,Unknown,df1,0
25,Female,6.4,2.03,2.55,4.13,2.6,Yes,Unknown,df1,1
40,Male,14.73,3.74,1.06,8.38,6.66,No,Unknown,df1,1
